JobID|JobName|Partition|State|Start|End|AllocNodes|AllocCPUS|NodeList
385412.extern|extern||COMPLETED|2024-03-09T23:35:10|2024-03-09T23:52:41|1|1|saruman
386866|jupyterhub|low|CANCELLED by 3581|2024-03-12T14:13:02|2024-03-12T14:17:32|2|2|scf-sm[10-11]
386866.batch|batch||CANCELLED|2024-03-12T14:13:02|2024-03-12T14:18:04|1|1|scf-sm10
386866.extern|extern||COMPLETED|2024-03-12T14:13:02|2024-03-12T14:17:32|2|2|scf-sm[10-11]
386869|jupyterhub|standalone|CANCELLED by 3581|2024-03-12T14:17:57|2024-03-12T14:19:42|1|1|dorothy
386869.batch|batch||CANCELLED|2024-03-12T14:17:57|2024-03-12T14:20:14|1|1|dorothy
386869.extern|extern||COMPLETED|2024-03-12T14:17:57|2024-03-12T14:19:42|1|1|dorothy
394955|Rclone_2_Way_Copy|low|CANCELLED by 3581|2024-03-15T20:26:21|2024-03-15T20:43:02|1|1|scf-sm02
394955.batch|batch||CANCELLED|2024-03-15T20:26:21|2024-03-15T20:43:06|1|1|scf-sm02
394955.extern|extern||COMPLETED|2024-03-15T20:26:21|2024-03-15T20:43:02|1|1|scf-sm02
394964|Rclone_2_Way_Copy|low|CANCELLED by 3581|2024-03-15T20:46:51|2024-03-15T20:57:11|1|1|scf-sm02
394964.batch|batch||CANCELLED|2024-03-15T20:46:51|2024-03-15T20:57:14|1|1|scf-sm02
394964.extern|extern||COMPLETED|2024-03-15T20:46:51|2024-03-15T20:57:11|1|1|scf-sm02
394969|Rclone_2_Way_Copy|low|CANCELLED by 3581|2024-03-15T21:03:19|2024-03-15T21:03:19|0|1|None assigned
394970|Rclone_2_Way_Copy|lowmem|CANCELLED by 3581|2024-03-15T21:03:48|2024-03-15T21:05:23|1|1|ghan
394970.batch|batch||CANCELLED|2024-03-15T21:03:48|2024-03-15T21:05:26|1|1|ghan
394970.extern|extern||COMPLETED|2024-03-15T21:03:48|2024-03-15T21:05:23|1|1|ghan
394972|Rclone_2_Way_Copy|lowmem|CANCELLED by 3581|2024-03-15T21:06:18|2024-03-15T21:09:04|1|1|ghan
394972.batch|batch||CANCELLED|2024-03-15T21:06:18|2024-03-15T21:09:07|1|1|ghan
394972.extern|extern||COMPLETED|2024-03-15T21:06:18|2024-03-15T21:09:04|1|1|ghan
394992|Rclone_2_Way_Copy|lowmem|CANCELLED by 3581|2024-03-15T21:14:43|2024-03-15T21:37:13|1|1|ghan
394992.batch|batch||CANCELLED|2024-03-15T21:14:43|2024-03-15T21:37:16|1|1|ghan
394992.extern|extern||COMPLETED|2024-03-15T21:14:43|2024-03-15T21:37:13|1|1|ghan
395153|Rclone_2_Way_Copy|lowmem|COMPLETED|2024-03-15T21:38:43|2024-03-15T22:12:42|1|1|ghan
395153.batch|batch||COMPLETED|2024-03-15T21:38:43|2024-03-15T22:12:42|1|1|ghan
395153.extern|extern||COMPLETED|2024-03-15T21:38:43|2024-03-15T22:12:42|1|1|ghan
395154|Parallel_Resizing|low|CANCELLED by 3581|2024-03-15T21:39:52|2024-03-15T21:39:52|0|8|None assigned
395156|Parallel_Resizing|lowmem|CANCELLED by 3581|2024-03-15T21:40:34|2024-03-15T21:42:21|1|8|shelob
395156.batch|batch||CANCELLED|2024-03-15T21:40:34|2024-03-15T21:42:24|1|8|shelob
395156.extern|extern||COMPLETED|2024-03-15T21:40:34|2024-03-15T21:42:21|1|8|shelob
395159|Parallel_Resizing|lowmem|CANCELLED by 3581|2024-03-15T21:46:26|2024-03-15T21:48:27|1|8|shelob
395159.batch|batch||CANCELLED|2024-03-15T21:46:26|2024-03-15T21:48:28|1|8|shelob
395159.extern|extern||COMPLETED|2024-03-15T21:46:26|2024-03-15T21:48:27|1|8|shelob
395161|Parallel_Resizing|lowmem|CANCELLED by 3581|2024-03-15T21:48:29|2024-03-15T22:07:23|1|8|shelob
395161.batch|batch||CANCELLED|2024-03-15T21:48:29|2024-03-15T22:07:25|1|8|shelob
395161.extern|extern||COMPLETED|2024-03-15T21:48:29|2024-03-15T22:07:24|1|8|shelob
395176|Parallel_Resizing|lowmem|CANCELLED by 3581|2024-03-15T22:07:52|2024-03-15T22:08:41|1|8|shelob
395176.batch|batch||CANCELLED|2024-03-15T22:07:52|2024-03-15T22:08:44|1|8|shelob
395176.extern|extern||COMPLETED|2024-03-15T22:07:52|2024-03-15T22:08:42|1|8|shelob
395177|Parallel_Resizing|lowmem|FAILED|2024-03-15T22:08:55|2024-03-15T22:09:19|1|4|gollum
395177.batch|batch||FAILED|2024-03-15T22:08:55|2024-03-15T22:09:19|1|4|gollum
395177.extern|extern||COMPLETED|2024-03-15T22:08:55|2024-03-15T22:09:19|1|4|gollum
395178|Parallel_Resizing|lowmem|COMPLETED|2024-03-15T22:10:48|2024-03-15T22:10:56|1|4|gollum
395178.batch|batch||COMPLETED|2024-03-15T22:10:48|2024-03-15T22:10:56|1|4|gollum
395178.extern|extern||COMPLETED|2024-03-15T22:10:48|2024-03-15T22:10:56|1|4|gollum
395179|Parallel_Resizing|lowmem|COMPLETED|2024-03-15T22:11:45|2024-03-15T22:17:34|1|4|gollum
395179.batch|batch||COMPLETED|2024-03-15T22:11:45|2024-03-15T22:17:34|1|4|gollum
395179.extern|extern||COMPLETED|2024-03-15T22:11:45|2024-03-15T22:17:34|1|4|gollum
395217|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-15T22:28:35|2024-03-15T22:29:40|1|16|shadowfax
395217.batch|batch||COMPLETED|2024-03-15T22:28:35|2024-03-15T22:29:40|1|16|shadowfax
395217.extern|extern||COMPLETED|2024-03-15T22:28:35|2024-03-15T22:29:40|1|16|shadowfax
395340|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-15T23:34:32|2024-03-15T23:35:33|1|16|shadowfax
395340.batch|batch||COMPLETED|2024-03-15T23:34:32|2024-03-15T23:35:33|1|16|shadowfax
395340.extern|extern||COMPLETED|2024-03-15T23:34:32|2024-03-15T23:35:33|1|16|shadowfax
395344|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-15T23:36:39|2024-03-15T23:37:39|1|16|shadowfax
395344.batch|batch||COMPLETED|2024-03-15T23:36:39|2024-03-15T23:37:39|1|16|shadowfax
395344.extern|extern||COMPLETED|2024-03-15T23:36:39|2024-03-15T23:37:39|1|16|shadowfax
395345|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-15T23:38:10|2024-03-15T23:39:10|1|16|shadowfax
395345.batch|batch||COMPLETED|2024-03-15T23:38:10|2024-03-15T23:39:10|1|16|shadowfax
395345.extern|extern||COMPLETED|2024-03-15T23:38:10|2024-03-15T23:39:10|1|16|shadowfax
395355|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-15T23:41:22|2024-03-15T23:42:21|1|16|shadowfax
395355.batch|batch||COMPLETED|2024-03-15T23:41:22|2024-03-15T23:42:21|1|16|shadowfax
395355.extern|extern||COMPLETED|2024-03-15T23:41:22|2024-03-15T23:42:21|1|16|shadowfax
395362|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-15T23:44:21|2024-03-15T23:44:29|1|16|shadowfax
395362.batch|batch||COMPLETED|2024-03-15T23:44:21|2024-03-15T23:44:29|1|16|shadowfax
395362.extern|extern||COMPLETED|2024-03-15T23:44:21|2024-03-15T23:44:29|1|16|shadowfax
395367|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-15T23:45:08|2024-03-15T23:45:16|1|16|shadowfax
395367.batch|batch||COMPLETED|2024-03-15T23:45:08|2024-03-15T23:45:16|1|16|shadowfax
395367.extern|extern||COMPLETED|2024-03-15T23:45:08|2024-03-15T23:45:16|1|16|shadowfax
395381|Rclone_2_Way_Copy|lowmem|COMPLETED|2024-03-15T23:51:13|2024-03-16T00:30:04|1|1|ghan
395381.batch|batch||COMPLETED|2024-03-15T23:51:13|2024-03-16T00:30:04|1|1|ghan
395381.extern|extern||COMPLETED|2024-03-15T23:51:13|2024-03-16T00:30:04|1|1|ghan
395701|Rclone_2_Way_Copy|lowmem|COMPLETED|2024-03-16T10:53:20|2024-03-16T11:14:35|1|1|ghan
395701.batch|batch||COMPLETED|2024-03-16T10:53:20|2024-03-16T11:14:35|1|1|ghan
395701.extern|extern||COMPLETED|2024-03-16T10:53:20|2024-03-16T11:14:35|1|1|ghan
395707|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-16T11:22:32|2024-03-16T11:23:35|1|16|shadowfax
395707.batch|batch||COMPLETED|2024-03-16T11:22:32|2024-03-16T11:23:35|1|16|shadowfax
395707.extern|extern||COMPLETED|2024-03-16T11:22:32|2024-03-16T11:23:35|1|16|shadowfax
395708|Rclone_2_Way_Copy|lowmem|COMPLETED|2024-03-16T11:24:22|2024-03-16T12:09:07|1|1|ghan
395708.batch|batch||COMPLETED|2024-03-16T11:24:22|2024-03-16T12:09:07|1|1|ghan
395708.extern|extern||COMPLETED|2024-03-16T11:24:22|2024-03-16T12:09:07|1|1|ghan
396103|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-16T14:38:06|2024-03-16T14:38:15|1|16|shadowfax
396103.batch|batch||COMPLETED|2024-03-16T14:38:06|2024-03-16T14:38:15|1|16|shadowfax
396103.extern|extern||COMPLETED|2024-03-16T14:38:06|2024-03-16T14:38:15|1|16|shadowfax
396104|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-16T14:39:13|2024-03-16T14:39:22|1|16|shadowfax
396104.batch|batch||COMPLETED|2024-03-16T14:39:13|2024-03-16T14:39:22|1|16|shadowfax
396104.extern|extern||COMPLETED|2024-03-16T14:39:13|2024-03-16T14:39:22|1|16|shadowfax
396105|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-16T14:44:20|2024-03-16T14:44:28|1|16|shadowfax
396105.batch|batch||COMPLETED|2024-03-16T14:44:20|2024-03-16T14:44:28|1|16|shadowfax
396105.extern|extern||COMPLETED|2024-03-16T14:44:20|2024-03-16T14:44:29|1|16|shadowfax
396106|Parallel_Resizing|jsteinhardt|COMPLETED|2024-03-16T14:45:15|2024-03-16T14:46:25|1|16|shadowfax
